#,Address,WL,Public,$BLOBZ
2,0x157Ea7465237654286Ba3FdfAeFD145cafc8859E,5,5,5000000
2,0x15Acb8DBf2E4aF8441AeBfdE69896bBaD064cF5b,5,5,5000000
2,0x15C9aE61F5e189af05c21834DA316006735450E6,5,5,5000000
2,0x15Cee7Ac10A4208Ff96f340C237C4Cd531463CB9,5,5,5000000
2,0x15f438c3fed4eB5474e3BC3655D0AB3cFD0CDdf1,5,5,5000000
2,0x1602E644d80036EE566E7893BCE6009FE63dB47a,5,5,5000000
2,0x1604EfA11c5b7392BFd161f6194EB7d636e01C31,5,5,5000000
2,0x160727e44213162C77523bBA90fdC13abA7789fF,5,5,5000000
2,0x161b1d3aB6cFd2b9F42Ec758FD5a9CEbD0808952,5,5,5000000
2,0x162AD50b8fedAa690F70642fB697B05Fc4e6328f,5,5,5000000
2,0x164330376661a454bbE50b92F16a77f3a8075338,5,5,5000000
2,0x1676c4D77a30F1d9E7fAf0D54459bfcC207A14A1,5,5,5000000
2,0x168F87fBfe36B84E44B9d06278B2aA1CC73d7400,5,5,5000000
2,0x1693B582aA1B8a2E7a45C810443cCB2cbbf9f387,5,5,5000000
2,0x16ac527d938c36Caec5A6b0665ef7b456C22f7D2,5,5,5000000
2,0x16Ae02d19C5FeD4407BCE1453f33FC191c8b48B3,5,5,5000000
2,0x1708C67F9d3095c92DDCf92E920f11A0aB64eD53,5,5,5000000
2,0x170C2001B1f97945407714A0eBFe169F45B02E42,5,5,5000000
2,0x17424cCcCae665Fa85C3d424540e9FA87a5AF3a5,5,5,5000000
2,0x1788285dcf1F93d912a98b315bdE81E6Cd4f2F01,5,5,5000000
2,0x17bbFb308a68809be9C9fD027454B644FE16d712,5,5,5000000
2,0x17E2c3Cc75D43475De2B6f34720dd5a765030Bf7,5,5,5000000
2,0x17e78bDE92C171a7D8B28D9290d2F358755BE109,5,5,5000000
2,0x17EEB43e990e23D534A4d3D9b51CAbbEb3bf6eBd,5,5,5000000
2,0x181F96993E04B4626C31d1F935981D3B6fe0D663,5,5,5000000
2,0x1871F42B4BAFeaF5FB95CDC57d32820fF687Fe74,5,5,5000000
2,0x18A6f239E133b04A7089A280Bf48cc84ccca0622,5,5,5000000
2,0x18Ef3E242A6e8A660E36eBD64949520f116a7d51,5,5,5000000
2,0x18EFeE97C630aBEFa71267121e49c12BEBcecced,5,5,5000000
2,0x19655b64BC180742F8CC62129D2B29A4b76897De,5,5,5000000
2,0x1982bD37E91Fd7a8c88805E9a7aa009fA804b1f9,5,5,5000000
2,0x1998f627ad0F5904165b1796c4b111492365Dad2,5,5,5000000
2,0x19f126c87f36339972e6D9378f102f7edEb6f02d,5,5,5000000
