#,Address,WL,Public,$BLOBZ
6,0x141d46F13Ad21Fe72248FF195881a6714BFD03D2,5,5,5000000
6,0x144579Ca8832050eEb8853e1A3793AC99F4b318a,5,5,5000000
6,0x14491C8b306Cd7018b985b434D53742C3F991964,5,5,5000000
6,0x144C1dba38B2AD72Ce9125Fc8e0B917aE75e2046,5,5,5000000
6,0x144E687898B9D8Dc8746936444128576e50618EE,5,5,5000000
6,0x14AC54a27b024222513AC05cf71A87c0923dF816,5,5,5000000
6,0x1508EF382d4F1F782E8121112214D8869Fa30668,5,5,5000000
6,0x1522428B2BCE54085912C8fCDA4840787f67ba08,5,5,5000000
6,0x154Bd5d57D90cE903a71754b32BdA83240dB34AD,5,5,5000000
6,0x15551B41E61f017C89BfdC2d073881B6e3F9aF97,5,5,5000000
6,0x156548113552Bb52AE921a0B44794A6a5F588C9c,5,5,5000000
6,0x156AC784BaE328f6aFb6403460145BA8B029d3b5,5,5,5000000
6,0x157e14AEaA74Da672E1C6C36d4d86DC29cc436Cd,5,5,5000000
6,0x157Ea7465237654286Ba3FdfAeFD145cafc8859E,5,5,5000000
6,0x15Acb8DBf2E4aF8441AeBfdE69896bBaD064cF5b,5,5,5000000
6,0x15C9aE61F5e189af05c21834DA316006735450E6,5,5,5000000
6,0x15Cee7Ac10A4208Ff96f340C237C4Cd531463CB9,5,5,5000000
6,0x15dd2966Bc4eccE6a45F490B4284b297a68a8172,5,5,5000000
6,0x15f438c3fed4eB5474e3BC3655D0AB3cFD0CDdf1,5,5,5000000
6,0x1602E644d80036EE566E7893BCE6009FE63dB47a,5,5,5000000
6,0x1604EfA11c5b7392BFd161f6194EB7d636e01C31,5,5,5000000
6,0x160727e44213162C77523bBA90fdC13abA7789fF,5,5,5000000
6,0x161b1d3aB6cFd2b9F42Ec758FD5a9CEbD0808952,5,5,5000000
6,0x1626ffA8d4424632af9d9a1071c368D8c0e7893D,5,5,5000000
6,0x162AD50b8fedAa690F70642fB697B05Fc4e6328f,5,5,5000000
6,0x164330376661a454bbE50b92F16a77f3a8075338,5,5,5000000
6,0x1676c4D77a30F1d9E7fAf0D54459bfcC207A14A1,5,5,5000000
6,0x16781D567521239348f232E7E1b808f97902c4F1,5,5,5000000
6,0x167F6Bc9688431E85e2f5355E91601A1213F6F0c,5,5,5000000
6,0x168F87fBfe36B84E44B9d06278B2aA1CC73d7400,5,5,5000000
6,0x1693B582aA1B8a2E7a45C810443cCB2cbbf9f387,5,5,5000000
6,0x16ac527d938c36Caec5A6b0665ef7b456C22f7D2,5,5,5000000
6,0x16Ae02d19C5FeD4407BCE1453f33FC191c8b48B3,5,5,5000000
6,0x16E658f644B90169C8251693661A0eD5026DeBd2,5,5,5000000
6,0x1708C67F9d3095c92DDCf92E920f11A0aB64eD53,5,5,5000000
6,0x170C2001B1f97945407714A0eBFe169F45B02E42,5,5,5000000
6,0x170c81a7451CFaD5DcA2be9681834a5118BA2886,5,5,5000000
6,0x17424cCcCae665Fa85C3d424540e9FA87a5AF3a5,5,5,5000000
6,0x1772ef83b2279a672154476C8fAcD9f2196d8dEe,5,5,5000000
6,0x1788285dcf1F93d912a98b315bdE81E6Cd4f2F01,5,5,5000000
6,0x17A7Aaa564511583E67C0A85DF4362745B2984bC,5,5,5000000
6,0x17B04bbA47f1DdAfF1519A98A5f5923B66Aa1407,5,5,5000000
6,0x17bbFb308a68809be9C9fD027454B644FE16d712,5,5,5000000
6,0x17E2c3Cc75D43475De2B6f34720dd5a765030Bf7,5,5,5000000
6,0x17e78bDE92C171a7D8B28D9290d2F358755BE109,5,5,5000000
6,0x17EEB43e990e23D534A4d3D9b51CAbbEb3bf6eBd,5,5,5000000
6,0x17F68338D50a899CE1ddafF9eEDeb32c5FF2FF90,5,5,5000000
6,0x17fac2D0148CeE3cDBbAF7dB4e3263B0fFb978f6,5,5,5000000
6,0x181F96993E04B4626C31d1F935981D3B6fe0D663,5,5,5000000
6,0x1871F42B4BAFeaF5FB95CDC57d32820fF687Fe74,5,5,5000000
6,0x188A6CE34A9B625447221d104965F26342c401A9,5,5,5000000
6,0x18A6f239E133b04A7089A280Bf48cc84ccca0622,5,5,5000000
6,0x18Ef3E242A6e8A660E36eBD64949520f116a7d51,5,5,5000000
6,0x18EFeE97C630aBEFa71267121e49c12BEBcecced,5,5,5000000
6,0x191039E81f9CeF770ff8233C04F700E2660E1584,5,5,5000000
6,0x1945f31530EeaC3174591eaee029533c31837b59,5,5,5000000
6,0x19655b64BC180742F8CC62129D2B29A4b76897De,5,5,5000000
6,0x196beE428c6970EA0788aE7eC423335895BBa817,5,5,5000000
6,0x1982bD37E91Fd7a8c88805E9a7aa009fA804b1f9,5,5,5000000
6,0x1998f627ad0F5904165b1796c4b111492365Dad2,5,5,5000000
6,0x19bdB6069A4A947294AA0C4DdE02CCB1462C3024,5,5,5000000
6,0x19BFb0e085231ADDFad4185D684EcfC1A99E2CA2,5,5,5000000
6,0x19f126c87f36339972e6D9378f102f7edEb6f02d,5,5,5000000
6,0x1A01e529c5910be6885AebB67c3E2B0063132669,5,5,5000000
6,0x1A2E9B743D901AdC4778d92A60df3a8E980390Aa,5,5,5000000
6,0x1A5B9A64189F54BBD3C01335e60C56c027fCF633,5,5,5000000
6,0x1ABa64C3535dD573ddAC5B922ee61E158B99F1B8,5,5,5000000
6,0x1aBbaEFbFBcfa6480F0850F838838C04616d3B46,5,5,5000000
6,0x1aBDA7da6093D9EfC24F6116Bc7e49cDb1808a31,5,5,5000000
6,0x1Ad1326Ae5caD3c912D7899649286AFBcf908925,5,5,5000000
6,0x1afb60753DF6FE6Bb73817b6397406248636f9B1,5,5,5000000
6,0x1B081542303d27A705Fcff9512b45c58dd7dC4a9,5,5,5000000
6,0x1b1500a898c6d8c9773D285A0F268D8E1854e95d,5,5,5000000
6,0x1B274eaCc333F4a904D72b576B55A108532aB379,5,5,5000000
6,0x1b27B3D405eB29e255CB004e34Fd86f2803170f2,5,5,5000000
6,0x1b27bc22017bCBEbC9807Cc636559aAB55Ad9473,5,5,5000000
6,0x1B2Ee83fb043a482f6012997C1192985749f5e31,5,5,5000000
6,0x1b7C3035585431dc428be200d00536f045A26725,5,5,5000000
6,0x1baBb042DdCCA9064eB01A054BcdbF5ceb102592,5,5,5000000
6,0x1bCdCC27c0fe7713dFa88f68896401A8EAD36C54,5,5,5000000
6,0x1bD69d88C7c87075EE5D03e39b151bc8F9EaA91b,5,5,5000000
6,0x1Be49f4c800ec9DE69D3D906ADC995c52B9A23D5,5,5,5000000
6,0x1c0E3291A61719D666812A3196299F950Cdc4E6a,5,5,5000000
6,0x1c50953259FdA471F4d8cEB1dd2BB296105c9b32,5,5,5000000
6,0x1c5bae0FB00eAc3C60b2A1Ffc0120F97Ac0B65D6,5,5,5000000
6,0x1C670dc214de4819730e7305703ec8C986B8C7fc,5,5,5000000
6,0x1c850d2bB346DA12f92FC06A8272274dd5EBBC3D,5,5,5000000
6,0x1C8F9b2f4f06423da0986355850e44070177B28B,5,5,5000000
6,0x1c93C94F387902aFA8B618EE5edcBd8372c8D359,5,5,5000000
6,0x1cc42446804338f73C9cBa99B5a0e0A695fe1074,5,5,5000000
6,0x1Cd2278A4d15477B03Ce8130Ed381D9dAD84384d,5,5,5000000
6,0x1Ce3A98E2142df2dc1202EB8D1B6f4db0f126c60,5,5,5000000
6,0x1ceB4110A956F29ea04bbdB599eCe5520C61F712,5,5,5000000
6,0x1d1eC8969BD49833b6512483A75c62Fa98621e8b,5,5,5000000
6,0x1d2622961ef6997Deb6B4Ffd3a81627A3Fdc13A5,5,5,5000000
6,0x1D54eE6c2e15B168F35a578Ca2BCf49F6A46c473,5,5,5000000
6,0x1d6fc8DF2fCc40474D55a42d1c04FCD9be9941ef,5,5,5000000
6,0x1d722F6a1FBD9378Fc04e91c3DfC16B6fE9d1e01,5,5,5000000
6,0x1d803e59C2b277610F28100CF2807Cf4528FF477,5,5,5000000
6,0x1D98061D96F0CBE97632e02CA6686D71b630667E,5,5,5000000
6,0x1db5Fd3c59e8A3723AB3F044304fDBfE6Dc4Aaba,5,5,5000000
6,0x1De37833529B3Ef0bAD542Aa841E647398A3Ea03,5,5,5000000
6,0x1De5bBFFdA967478BB799f3F11CCb35b729A4f0D,5,5,5000000
6,0x1DFaFe7bd19529E97590dC58fc43500465Ed1e24,5,5,5000000
6,0x1e0a32F18c1E75BE00B2A2D118d5278714755D17,5,5,5000000
6,0x1e375a734902ff4CEc62dED9407c9bB234c4C2F1,5,5,5000000
6,0x1e4576DFBdc389EE0B42B4a5D0B7FFBf600785B5,5,5,5000000
6,0x1E4Ac0F985f910EC7AB29B49284870aDCab3731F,5,5,5000000
6,0x1e981Cc24fe4f3fe07a7266565314A3747c9Df15,5,5,5000000
6,0x1e9f7e255F5EE76241eF593b390fFe87FF419079,5,5,5000000
6,0x1eB4F5aE6E14F6376b7175656994F58ceA565C0d,5,5,5000000
6,0x1EC2ff7A371fAb19bEf62a5f285FB09bF88C904C,5,5,5000000
6,0x1ed019688EA7268F86E7E8c1cAe91d87DBd25aE0,5,5,5000000
6,0x1ee3d743aD6d372ceaDf17a8f4432e8d1c8AA0D5,5,5,5000000
6,0x1F01A89Dd51D9dC0227c657F8F25205E4cF88F1E,5,5,5000000
6,0x1F1948894F6c7619fe9a5d305ce0bB4EcEd7e375,5,5,5000000
6,0x1F27b0482ace1B82cf7A4f0c55dfc2A05dfCfD75,5,5,5000000
6,0x1f602726Fe783Ab5466BE071F26521685BddDB21,5,5,5000000
6,0x1Fa696000B3Aaab50E2DfBb8857FA841F27Ce1F7,5,5,5000000
6,0x1fb7D2BB6b5fFf5F73fFD026266554F11FfDb687,5,5,5000000
6,0x1FC06B01B68461Db6AF20001A171f0a3b4635B5A,5,5,5000000
6,0x1Fea22fa1A2bf9A277bd87418251475fBE64425e,5,5,5000000
6,0x1FF54110f42AAD649cA5f32b750958c36504D627,5,5,5000000
6,0x1FfD9409c16F1178359EF2e1a864620Eb6662ff9,5,5,5000000
6,0x20077c6d51732375Ae785AA332C7c4a6DA3102e0,5,5,5000000
6,0x200e61f6394bc6a87b85EB54ba5716e3415033c7,5,5,5000000
6,0x201449bfdfC56DE48469a10e8194f64898b152B8,5,5,5000000
6,0x20313BF6f3071fAe1F44E23f1aED6950030BD1Db,5,5,5000000
6,0x2037b870C76611ce9d74495C967073c15FA56181,5,5,5000000
6,0x203b80263d0d00d80A31457CFb06A4a5e8bf065E,5,5,5000000
6,0x204B05cDac205913C9b900179eAae3264d03d644,5,5,5000000
